tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0050212	movie	The Bridge on the River Kwai	The Bridge on the River Kwai	0	1957	\N	161	"Adventure,Drama,War"
tt0036723	movie	Cover Girl	Cover Girl	0	1944	\N	107	"Comedy,Musical,Romance"
tt0038559	movie	Gilda	Gilda	0	1946	\N	110	"Drama,Film-Noir,Romance"
tt0040552	movie	The Loves of Carmen	The Loves of Carmen	0	1948	\N	99	"Adventure,Drama,Music"
tt0040525	movie	The Lady from Shanghai	The Lady from Shanghai	0	1947	\N	87	"Crime,Drama,Film-Noir"
tt0074802	movie	Lipstick	Lipstick	0	1976	\N	89	"Crime,Drama,Thriller"
tt0110138	movie	Inner Sanctum II	Inner Sanctum II	0	1994	\N	82	"Drama,Horror,Romance"
tt0102122	movie	Inner Sanctum	Inner Sanctum	0	1991	\N	90	"Drama,Thriller"
tt0058385	movie	My Fair Lady	My Fair Lady	0	1964	\N	170	"Drama,Family,Musical"
tt0046250	movie	Roman Holiday	Roman Holiday	0	1953	\N	118	"Comedy,Romance"
tt0032904	movie	The Philadelphia Story	The Philadelphia Story	0	1940	\N	112	"Comedy,Romance"
tt0061735	movie	Guess Who's Coming to Dinner	Guess Who's Coming to Dinner	0	1967	\N	108	"Comedy,Drama"
tt0063227	movie	The Lion in Winter	The Lion in Winter	0	1968	\N	134	"Biography,Drama,History"
tt0049833	movie	The Ten Commandments	The Ten Commandments	0	1956	\N	220	"Adventure,Drama"
tt0063442	movie	Planet of the Apes	Planet of the Apes	0	1968	\N	112	"Adventure,Sci-Fi"
tt0070723	movie	Soylent Green	Soylent Green	0	1973	\N	97	"Crime,Mystery,Sci-Fi"
tt0052618	movie	Ben-Hur	Ben-Hur	0	1959	\N	212	"Adventure,Drama,History"
tt0054215	movie	Psycho	Psycho	0	1960	\N	109	"Horror,Mystery,Thriller"
tt0052357	movie	Vertigo	Vertigo	0	1958	\N	128	"Mystery,Romance,Thriller"
tt0030341	movie	The Lady Vanishes	The Lady Vanishes	0	1938	\N	96	"Mystery,Thriller"
tt0046359	movie	Stalag 17	Stalag 17	0	1953	\N	120	"Comedy,Drama,War"
tt0074958	movie	Network	Network	0	1976	\N	121	Drama
tt0065214	movie	The Wild Bunch	The Wild Bunch	0	1969	\N	135	"Action,Adventure,Western"
tt0499549	movie	Avatar	Avatar	0	2009	\N	162	"Action,Adventure,Fantasy"
tt0120746	movie	The Mask of Zorro	The Mask of Zorro	0	1998	\N	136	"Action,Adventure,Comedy"
tt0120338	movie	Titanic	Titanic	0	1997	\N	194	"Drama,Romance"
tt0120647	movie	Deep Impact	Deep Impact	0	1998	\N	120	"Action,Drama,Romance"
tt0015324	movie	Sherlock Jr.	Sherlock Jr.	0	1924	\N	45	"Action,Comedy,Romance"
tt0016332	movie	Seven Chances	Seven Chances	0	1925	\N	56	"Comedy,Romance"
tt0017925	movie	The General	The General	0	1926	\N	67	"Action,Adventure,Comedy"
tt0015863	movie	Go West	Go West	0	1925	\N	68	"Comedy,Western"
tt0043278	movie	An American in Paris	An American in Paris	0	1951	\N	114	"Drama,Musical,Romance"
tt0045152	movie	Singin' in the Rain	Singin' in the Rain	0	1952	\N	103	"Comedy,Musical,Romance"
tt0041944	movie	Take Me Out to the Ball Game	Take Me Out to the Ball Game	0	1949	\N	93	"Comedy,Musical,Romance"
tt0041716	movie	On the Town	On the Town	0	1949	\N	98	"Comedy,Musical,Romance"
tt0046874	movie	The Country Girl	The Country Girl	0	1954	\N	104	"Drama,Music"
tt0046912	movie	Dial M for Murder	Dial M for Murder	0	1954	\N	105	"Crime,Thriller"
tt0050490	movie	"Heaven Knows, Mr. Allison"	"Heaven Knows, Mr. Allison"	0	1957	\N	108	"Action,Adventure,Drama"
tt0039192	movie	Black Narcissus	Black Narcissus	0	1947	\N	101	Drama
tt0049408	movie	The King and I	The King and I	0	1956	\N	133	"Biography,Drama,Musical"
tt0066921	movie	A Clockwork Orange	A Clockwork Orange	0	1971	\N	136	"Crime,Drama,Sci-Fi"
tt0062622	movie	2001: A Space Odyssey	2001: A Space Odyssey	0	1968	\N	149	"Adventure,Sci-Fi"
tt0072684	movie	Barry Lyndon	Barry Lyndon	0	1975	\N	185	"Adventure,Drama,History"
tt0093058	movie	Full Metal Jacket	Full Metal Jacket	0	1987	\N	116	"Drama,War"
tt0051808	movie	The Hidden Fortress	Kakushi-toride no san-akunin	0	1958	\N	139	"Adventure,Drama"
tt0047478	movie	Seven Samurai	Shichinin no samurai	0	1954	\N	207	"Adventure,Drama"
tt0080979	movie	Kagemusha	Kagemusha	0	1980	\N	180	"Drama,History,War"
tt0089881	movie	Ran	Ran	0	1985	\N	162	"Action,Drama"
tt0035432	movie	This Gun for Hire	This Gun for Hire	0	1942	\N	81	"Crime,Drama,Film-Noir"
tt0046303	movie	Shane	Shane	0	1953	\N	118	"Drama,Western"
tt0043292	movie	Appointment with Danger	Appointment with Danger	0	1950	\N	90	"Crime,Drama,Film-Noir"
tt0038369	movie	The Blue Dahlia	The Blue Dahlia	0	1946	\N	96	"Crime,Film-Noir,Mystery"
tt0034240	movie	Sullivan's Travels	Sullivan's Travels	0	1941	\N	90	"Adventure,Comedy,Drama"
tt0034881	movie	I Married a Witch	I Married a Witch	0	1942	\N	77	"Comedy,Fantasy,Romance"
tt0053793	movie	Elmer Gantry	Elmer Gantry	0	1960	\N	146	Drama
tt0059825	movie	The Train	The Train	0	1964	\N	133	"Thriller,War"
tt0045793	movie	From Here to Eternity	From Here to Eternity	0	1953	\N	118	"Drama,Romance,War"
tt0050468	movie	Gunfight at the O.K. Corral	Gunfight at the O.K. Corral	0	1957	\N	122	"Biography,Drama,Western"
